Data,Temperatura,Wilogtność powietrza,Prędkość wiatru,Zachmurzenie
2015-06-29,15.97,25.14,0.89,6.9
2015-06-30,16.88,21.74,0.82,4.3
2015-07-01,17.52,23.03,0.96,3.1
2015-07-02,18.28,20.67,1.17,1.36
2015-07-03,19.8,18.85,1.04,1.1
2015-07-04,21.64,19.48,0.76,1.3
2015-07-05,23.13,19.74,0.72,2.21
2015-07-06,23.15,21.83,1.33,3.73
2015-07-07,21.99,20.19,1.01,1.49
2015-07-08,20.77,26.92,1.68,6.78
2015-07-09,16.0,24.17,1.92,5.67
2015-07-10,12.53,22.42,2.36,5.48
2015-07-11,13.92,22.16,1.56,3.63
2015-07-12,16.27,22.26,0.98,4.59
2015-07-13,15.83,30.73,1.32,7.28
2015-07-14,16.34,28.75,1.27,6.86
2015-07-15,17.1,26.54,1.48,5.53
2015-07-16,17.95,23.66,0.99,3.4
2015-07-17,20.38,22.31,1.21,3.64
2015-07-18,21.96,21.26,1.39,4.03
2015-07-19,21.79,24.3,1.52,4.11
2015-07-20,19.45,24.18,1.92,4.26
2015-07-21,19.28,24.01,1.03,3.32
2015-07-22,22.91,22.95,1.04,2.52
2015-07-23,22.63,24.43,1.53,4.9
2015-07-24,20.34,24.97,1.07,5.13
2015-07-25,21.82,24.62,1.64,4.83
2015-07-26,16.87,25.4,1.52,5.67
2015-07-27,14.97,25.92,1.25,6.41
2015-07-28,17.05,24.56,1.89,5.2
2015-07-29,16.11,25.76,1.38,5.78
2015-07-30,15.36,23.3,1.69,4.0
2015-07-31,14.05,23.82,1.27,4.56
2015-08-01,14.9,22.09,1.06,2.9
2015-08-02,18.05,21.62,0.87,4.77
2015-08-03,20.02,23.03,0.78,4.17
2015-08-04,21.99,21.85,1.14,3.04
2015-08-05,22.07,23.57,1.11,4.22
2015-08-06,22.17,24.1,0.82,2.43
2015-08-07,23.88,22.0,0.95,1.87
2015-08-08,25.18,19.76,1.19,1.78
2015-08-09,23.55,22.94,1.07,3.7
2015-08-10,22.7,23.71,1.05,2.71
2015-08-11,23.38,21.72,0.93,2.14
2015-08-12,23.29,21.97,0.91,2.77
2015-08-13,22.1,23.35,1.35,3.05
2015-08-14,21.55,22.06,1.53,2.23
2015-08-15,22.02,21.61,1.15,3.36
2015-08-16,20.55,24.34,1.14,4.87
2015-08-17,19.39,23.39,1.59,5.98
2015-08-18,18.51,21.19,1.96,4.38
2015-08-19,15.9,19.89,1.85,2.44
2015-08-20,14.8,19.84,1.62,1.92
2015-08-21,14.55,20.89,1.19,3.29
2015-08-22,14.85,23.71,0.95,5.12
2015-08-23,16.7,23.18,1.18,4.41
2015-08-24,18.65,20.8,1.76,4.13
2015-08-25,17.97,24.51,1.6,6.48
2015-08-26,16.5,26.47,0.95,3.4
2015-08-27,18.72,23.22,1.36,3.26
2015-08-28,20.8,23.91,1.6,4.27
2015-08-29,18.65,26.94,0.94,3.64
2015-08-30,20.72,23.46,1.01,2.34
2015-08-31,23.03,21.3,1.11,1.95
2015-09-01,23.72,18.0,1.82,1.71
2015-09-02,17.88,28.09,1.81,6.1
2015-09-03,14.96,28.02,1.03,6.3
2015-09-04,14.2,30.64,1.31,6.35
2015-09-05,13.29,27.49,1.39,6.68
2015-09-06,11.65,27.85,2.68,7.0
2015-09-07,10.97,27.87,2.4,6.16
2015-09-08,10.18,27.8,1.98,5.56
2015-09-09,10.46,29.84,0.83,6.3
2015-09-10,11.08,28.32,1.51,5.11
2015-09-11,13.14,26.11,1.83,6.79
2015-09-12,13.5,28.44,1.29,5.49
2015-09-13,13.96,27.81,1.72,4.42
2015-09-14,15.93,25.41,2.7,4.96
2015-09-15,17.62,27.41,1.57,5.76
2015-09-16,19.15,26.65,2.3,5.24
2015-09-17,21.79,23.43,2.27,2.6
2015-09-18,17.89,24.74,1.41,4.34
2015-09-19,14.94,29.88,0.95,6.15
2015-09-20,12.83,31.29,1.45,7.25
2015-09-21,9.95,29.59,1.4,5.18
2015-09-22,10.03,27.27,1.43,3.43
2015-09-23,13.89,27.44,1.21,5.33
2015-09-24,14.33,29.24,1.31,5.94
2015-09-25,13.51,30.33,1.52,6.98
2015-09-26,11.15,31.21,1.94,7.28
2015-09-27,9.74,29.28,1.52,5.3
2015-09-28,8.45,29.15,1.31,4.82
2015-09-29,8.69,28.59,1.62,6.24
2015-09-30,8.01,27.61,1.23,5.53
2015-10-01,6.19,28.12,1.04,2.48
2015-10-02,7.91,26.16,1.09,2.87
2015-10-03,9.99,26.39,1.43,2.88
2015-10-04,13.48,26.22,1.83,2.6
2015-10-05,11.93,29.91,0.78,5.24
2015-10-06,10.96,30.1,1.22,5.52
2015-10-07,8.06,25.56,2.31,5.32
2015-10-08,5.68,25.58,1.37,4.75
2015-10-09,4.41,25.17,1.34,4.93
2015-10-10,2.7,25.12,1.57,3.96
2015-10-11,2.08,24.32,2.43,5.65
2015-10-12,1.23,29.92,1.61,7.13
2015-10-13,3.1,30.71,1.15,7.52
2015-10-14,6.0,29.41,1.84,7.32
2015-10-15,7.37,27.56,2.37,7.42
2015-10-16,9.84,29.34,1.92,6.67
2015-10-17,9.3,32.07,0.94,7.56
2015-10-18,7.39,31.96,1.18,6.33
2015-10-19,6.39,31.59,1.07,6.62
2015-10-20,5.97,33.34,1.4,7.89
2015-10-21,6.23,32.78,1.41,7.72
2015-10-22,6.4,31.97,1.2,7.61
2015-10-23,7.62,30.59,2.2,7.24
2015-10-24,7.33,29.79,0.92,4.15
2015-10-25,6.26,30.88,1.65,6.23
2015-10-26,5.59,30.86,1.07,4.41
2015-10-27,3.41,29.68,1.04,3.34
2015-10-28,4.66,27.95,1.79,3.39
2015-10-29,5.53,29.56,1.12,5.28
2015-10-30,5.29,30.89,0.7,3.96
2015-10-31,4.82,29.69,1.3,3.27
2015-11-01,5.04,26.23,1.57,2.45
2015-11-02,5.4,25.57,1.5,3.65
2015-11-03,4.1,27.35,1.08,3.27
2015-11-04,3.55,27.78,1.04,3.91
2015-11-05,2.31,30.95,0.99,5.25
2015-11-06,2.85,30.23,0.95,6.07
2015-11-07,6.59,31.71,1.26,7.5
2015-11-08,10.41,28.1,3.44,4.37
2015-11-09,7.43,30.99,1.95,7.26
2015-11-10,11.02,31.12,3.33,7.83
2015-11-11,12.24,31.35,2.53,7.66
2015-11-12,10.36,29.28,2.63,5.95
2015-11-13,6.23,30.51,1.61,5.49
2015-11-14,6.14,27.36,3.4,5.78
2015-11-15,5.1,31.21,2.33,7.7
2015-11-16,6.09,32.76,1.26,7.6
2015-11-17,7.89,32.25,2.05,7.77
2015-11-18,9.88,29.81,3.97,7.24
2015-11-19,8.29,27.74,3.45,6.18
2015-11-20,6.61,30.86,2.25,7.51
2015-11-21,2.84,32.6,0.95,7.52
2015-11-22,1.16,32.94,1.05,7.11
2015-11-23,-0.52,31.36,1.24,5.64
2015-11-24,-2.05,30.23,1.17,3.73
2015-11-25,-2.88,28.92,1.62,3.65
2015-11-26,-2.07,31.34,1.12,7.02
2015-11-27,-1.39,32.03,1.22,6.98
2015-11-28,-1.23,31.86,1.26,7.3
2015-11-29,1.55,30.02,2.49,6.29
2015-11-30,3.99,28.52,3.6,6.43
2015-12-01,3.57,30.16,3.89,6.96
2015-12-02,3.29,31.66,1.76,7.5
2015-12-03,4.64,32.62,1.11,7.0
2015-12-04,3.79,29.23,2.38,5.1
2015-12-05,4.94,28.28,2.44,5.14
2015-12-06,5.59,26.56,3.12,3.84
2015-12-07,5.28,29.64,1.88,5.92
2015-12-08,3.73,32.73,1.02,6.48
2015-12-09,2.73,32.09,1.37,7.61
2015-12-10,2.38,31.87,1.36,5.26
2015-12-11,0.65,28.26,2.36,4.87
2015-12-12,3.0,30.26,2.78,6.02
2015-12-13,3.24,30.78,3.37,7.46
2015-12-14,0.28,29.28,1.16,5.6
2015-12-15,-0.2,31.25,1.11,7.23
2015-12-16,0.21,32.76,0.88,6.18
2015-12-17,1.79,32.31,2.3,6.87
2015-12-18,5.3,32.35,1.96,7.44
2015-12-19,5.82,31.46,1.62,5.51
2015-12-20,4.46,30.4,2.05,3.73
2015-12-21,4.01,30.49,2.48,5.49
2015-12-22,6.54,27.49,3.74,5.91
2015-12-23,8.15,26.43,2.75,4.44
2015-12-24,3.61,31.13,1.14,3.28
2015-12-25,4.41,30.07,2.16,5.17
2015-12-26,7.61,28.81,3.43,5.43
2015-12-27,6.39,28.86,2.03,5.26
2015-12-28,5.02,30.67,2.03,7.16
2015-12-29,-0.68,29.71,1.84,5.32
2015-12-30,-5.87,27.66,1.66,2.78
2015-12-31,-6.71,25.6,1.52,1.94
2016-01-01,-8.71,27.94,1.17,3.86
2016-01-02,-11.18,26.84,2.29,3.14
2016-01-03,-14.09,26.83,1.47,2.86
2016-01-04,-12.61,25.85,1.87,4.85
2016-01-05,-9.5,28.84,1.44,6.25
2016-01-06,-5.92,30.86,1.18,6.44
2016-01-07,-5.44,31.45,1.33,7.26
2016-01-08,-3.19,30.59,2.07,6.24
2016-01-09,-1.53,31.11,1.32,5.22
2016-01-10,-0.32,33.17,1.37,7.17
2016-01-11,1.65,33.61,1.68,7.34
2016-01-12,1.65,32.11,2.5,7.25
2016-01-13,0.71,32.14,2.15,7.18
2016-01-14,-1.31,30.82,1.69,6.49
2016-01-15,-1.36,32.26,1.24,7.51
2016-01-16,-3.86,30.62,1.92,6.49
2016-01-17,-6.96,29.87,1.09,6.53
2016-01-18,-6.37,30.76,1.0,6.45
2016-01-19,-8.17,29.79,1.1,6.24
2016-01-20,-7.44,28.92,1.96,6.83
2016-01-21,-5.65,30.14,2.05,7.36
2016-01-22,-7.36,30.24,1.25,5.41
2016-01-23,-9.58,27.64,1.37,4.16
2016-01-24,-3.83,32.61,1.43,7.77
2016-01-25,-0.11,32.92,1.92,7.87
2016-01-26,3.13,33.51,1.64,7.55
2016-01-27,4.97,30.71,2.79,6.7
2016-01-28,5.58,28.75,3.15,6.68
2016-01-29,2.26,28.29,2.26,5.07
2016-01-30,5.1,26.49,3.48,4.95
2016-01-31,2.67,28.61,3.33,6.25
2016-02-01,2.34,31.7,2.29,7.4
2016-02-02,6.92,28.01,3.65,7.05
2016-02-03,4.76,26.86,2.96,6.64
2016-02-04,1.11,29.39,2.72,7.0
2016-02-05,-0.35,30.19,2.0,6.19
2016-02-06,1.46,29.71,1.98,5.64
2016-02-07,3.8,26.49,3.42,3.37
2016-02-08,5.57,26.1,3.09,6.28
2016-02-09,6.96,24.19,3.58,5.29
2016-02-10,4.91,29.33,2.48,7.69
2016-02-11,1.46,32.01,2.34,6.97
2016-02-12,0.94,30.27,1.94,5.63
2016-02-13,1.27,32.22,1.42,7.37
2016-02-14,3.03,31.36,1.84,5.6
2016-02-15,4.27,33.46,1.14,7.65
2016-02-16,2.16,31.7,1.75,7.41
2016-02-17,1.05,30.23,2.59,5.85
2016-02-18,4.7,30.72,1.52,7.21
2016-02-19,2.64,33.29,1.37,7.86
2016-02-20,0.61,31.34,2.01,6.27
2016-02-21,3.33,32.27,2.56,7.63
2016-02-22,7.88,28.54,3.59,5.93
2016-02-23,4.4,30.48,2.03,7.43
2016-02-24,0.93,31.31,2.01,6.14
2016-02-25,-1.2,30.4,1.47,6.08
2016-02-26,-1.15,31.46,1.26,5.79
2016-02-27,-2.14,28.97,1.5,4.25
2016-02-28,2.32,29.51,1.71,6.5
2016-02-29,1.76,32.06,1.82,7.61
2016-03-01,1.06,33.34,1.95,7.85
2016-03-02,0.99,31.6,1.94,6.66
2016-03-03,2.64,30.96,1.24,7.12
2016-03-04,2.08,32.37,1.12,7.32
2016-03-05,2.69,29.77,2.58,6.64
2016-03-06,5.08,28.19,2.23,6.73
2016-03-07,3.13,31.03,1.03,7.24
2016-03-08,3.52,31.23,1.1,7.48
2016-03-09,2.91,31.34,1.35,7.05
2016-03-10,3.43,31.88,1.62,7.75
2016-03-11,4.05,32.76,1.56,7.71
2016-03-12,3.17,32.89,1.46,7.81
2016-03-13,1.98,29.96,1.7,6.4
2016-03-14,0.51,29.27,1.48,5.59
2016-03-15,0.92,31.78,1.98,7.65
2016-03-16,0.91,28.53,1.19,3.28
2016-03-17,1.96,27.69,1.67,2.88
2016-03-18,3.42,26.77,2.82,5.32
2016-03-19,0.67,25.2,1.94,5.23
2016-03-20,2.14,27.69,2.14,7.35
2016-03-21,3.62,28.85,2.08,7.31
2016-03-22,3.15,30.24,2.07,6.93
2016-03-23,1.63,28.88,1.21,6.04
2016-03-24,0.53,26.05,1.47,4.19
2016-03-25,1.7,25.55,1.04,5.87
2016-03-26,4.05,30.03,1.19,7.05
2016-03-27,4.6,27.34,1.46,4.18
2016-03-28,5.76,23.7,1.55,3.75
2016-03-29,6.9,25.0,2.49,5.91
2016-03-30,6.81,26.72,2.11,5.85
2016-03-31,8.72,28.12,1.52,5.53
2016-04-01,5.49,29.19,2.15,6.05
2016-04-02,4.31,23.53,1.4,2.43
2016-04-03,7.87,20.01,1.62,2.84
2016-04-04,11.62,20.82,1.68,3.58
2016-04-05,13.76,21.22,1.32,2.81
2016-04-06,11.76,26.37,1.83,5.28
2016-04-07,10.69,25.01,1.34,5.66
2016-04-08,9.44,28.8,1.44,7.25
2016-04-09,8.08,29.17,1.71,7.57
2016-04-10,7.2,30.37,1.85,7.7
2016-04-11,8.13,29.33,1.47,7.26
2016-04-12,9.75,30.06,1.02,7.2
2016-04-13,10.76,29.33,1.17,5.47
2016-04-14,8.72,30.68,1.63,7.43
2016-04-15,8.32,26.16,1.65,5.9
2016-04-16,11.11,26.78,1.81,5.39
2016-04-17,12.16,25.64,2.42,4.68
2016-04-18,8.27,27.34,1.56,6.47
2016-04-19,6.79,24.53,2.17,5.84
2016-04-20,6.35,24.79,3.08,5.1
2016-04-21,7.1,22.01,1.93,2.3
2016-04-22,7.9,21.12,2.62,2.9
2016-04-23,6.73,22.84,1.08,6.41
2016-04-24,5.04,28.56,2.02,6.91
2016-04-25,3.02,28.69,1.51,6.65
2016-04-26,4.82,23.51,1.78,3.93
2016-04-27,5.34,26.37,1.99,6.5
2016-04-28,5.38,24.34,1.93,4.55
2016-04-29,6.77,25.66,1.35,4.21
2016-04-30,8.03,26.95,1.54,4.82
2016-05-01,9.21,27.72,1.37,5.74
2016-05-02,10.79,27.64,1.49,6.18
2016-05-03,11.61,27.11,1.49,5.96
2016-05-04,11.49,26.79,1.82,5.84
2016-05-05,11.91,25.16,1.87,4.52
2016-05-06,12.14,21.2,1.49,2.93
2016-05-07,11.81,21.86,1.91,3.15
2016-05-08,12.69,25.86,1.8,4.7
2016-05-09,12.32,26.34,1.46,4.62
2016-05-10,13.22,23.71,1.62,2.49
2016-05-11,13.64,24.5,1.18,3.75
2016-05-12,14.06,23.73,1.69,3.47
2016-05-13,13.59,28.26,1.59,6.66
