Data,Godz.,Dobowa prognoza zapotrzebowania KSE,Rzeczywiste zapotrzebowanie KSE
2015-01-14,22,21500.0,21082.98
2015-01-15,24,18400.0,18202.15
2015-01-15,23,20000.0,19627.47
2015-01-15,22,21600.0,21337.25
2015-01-15,21,23000.0,22918.4
2015-01-15,20,23800.0,23565.4
2015-01-15,19,23900.0,23763.6
2015-01-15,18,24200.0,24122.72
2015-01-15,16,23000.0,22428.58
2015-01-15,15,22900.0,22438.92
2015-01-15,14,23200.0,22611.92
2015-01-15,17,24300.0,23905.98
2015-01-15,12,23100.0,22609.25
2015-01-15,1,17300.0,16958.65
2015-01-15,13,23200.0,22553.55
2015-01-15,3,16400.0,16071.3
2015-01-15,4,16400.0,16118.08
2015-01-15,5,16800.0,16359.0
2015-01-15,6,18000.0,17197.0
2015-01-15,2,16700.0,16389.9
2015-01-15,8,22000.0,21640.38
2015-01-15,9,22700.0,22286.3
2015-01-15,10,22900.0,22469.42
2015-01-15,11,23000.0,22399.35
2015-01-15,7,21100.0,20086.0
2015-01-16,14,22900.0,22280.78
2015-01-16,23,19800.0,19102.85
2015-01-16,21,22900.0,22245.92
2015-01-16,20,23700.0,23060.52
2015-01-16,19,23800.0,23342.72
2015-01-16,18,24000.0,23731.88
2015-01-16,17,24000.0,23489.08
2015-01-16,16,22500.0,22024.95
2015-01-16,15,22600.0,22072.6
2015-01-16,13,22800.0,22220.72
2015-01-16,24,18100.0,17946.05
2015-01-16,11,22700.0,22128.12
2015-01-16,12,22700.0,22274.22
2015-01-16,1,17100.0,17132.4
2015-01-16,2,16400.0,16488.12
2015-01-16,3,16100.0,16148.12
2015-01-16,4,16200.0,16227.62
2015-01-16,22,21400.0,20599.97
2015-01-16,6,17900.0,17189.88
2015-01-16,7,21200.0,20115.47
2015-01-16,8,22000.0,21593.92
2015-01-16,9,22500.0,22075.6
2015-01-16,5,16700.0,16450.3
2015-01-16,10,22600.0,22296.62
2015-01-17,24,16600.0,16502.03
2015-01-17,22,18900.0,18802.25
2015-01-17,21,20200.0,20087.22
2015-01-17,19,20950.0,21053.05
2015-01-17,18,21400.0,21306.4
2015-01-17,17,21450.0,21212.45
2015-01-17,16,20250.0,20047.28
2015-01-17,15,20000.0,20049.3
2015-01-17,14,20450.0,20417.53
2015-01-17,13,20550.0,20384.4
2015-01-17,23,17700.0,17720.9
2015-01-17,11,20500.0,20318.12
2015-01-17,12,20500.0,20499.42
2015-01-17,1,17000.0,16848.0
2015-01-17,2,16300.0,16069.75
2015-01-17,3,15900.0,15782.0
2015-01-17,4,15750.0,15709.95
2015-01-17,20,20750.0,20794.22
2015-01-17,6,16000.0,15978.8
2015-01-17,7,17400.0,17024.47
2015-01-17,8,18000.0,17859.7
2015-01-17,9,19250.0,19070.2
2015-01-17,5,15750.0,15727.9
2015-01-17,10,20100.0,19944.15
2015-01-18,16,18300.0,17704.22
2015-01-18,17,19700.0,18993.05
2015-01-18,18,19900.0,19512.35
2015-01-18,20,20000.0,19635.62
2015-01-18,15,18200.0,17911.95
2015-01-18,21,19200.0,18994.55
2015-01-18,22,18300.0,18191.95
2015-01-18,23,17400.0,17202.8
2015-01-18,24,16300.0,16076.45
2015-01-18,19,19900.0,19636.47
2015-01-18,14,18300.0,18138.9
2015-01-18,11,17700.0,17690.92
2015-01-18,12,18000.0,17930.9
2015-01-18,10,17200.0,16898.2
2015-01-18,9,16200.0,15939.68
2015-01-18,7,14900.0,14845.22
2015-01-18,6,14400.0,14364.78
2015-01-18,5,14200.0,14197.08
2015-01-18,4,14200.0,14217.28
2015-01-18,3,14300.0,14387.5
2015-01-18,2,14600.0,14813.38
2015-01-18,1,15400.0,15445.78
2015-01-18,13,18200.0,18106.25
2015-01-18,8,15100.0,15139.88
2015-01-19,6,16700.0,16053.9
2015-01-19,5,15000.0,14938.55
2015-01-19,1,15200.0,15144.3
2015-01-19,4,14600.0,14564.7
2015-01-19,2,14700.0,14788.28
2015-01-19,3,14500.0,14547.8
2015-01-19,12,22800.0,23050.58
2015-01-19,11,22800.0,22869.62
2015-01-19,13,22900.0,23199.72
