Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20200118;20;21400;20972,888
20200118;21;20900;20345,850
20200118;22;19700;19304,688
20200118;23;18700;18259,225
20200118;24;17500;17132,213
20200119;1;16300;16188,750
20200119;2;15600;15482,538
20200119;3;15200;15024,450
20200119;4;15100;14901,263
20200119;5;15200;14931,138
20200119;6;15500;15111,038
20200119;7;16000;15686,638
20200119;8;16200;15853,663
20200119;9;17600;16492,500
20200119;10;18500;17261,975
20200119;11;18800;17964,650
20200119;12;18800;18282,875
20200119;13;18900;18423,750
20200119;14;19000;18537,125
20200119;15;18800;18262,875
20200119;16;18700;17997,463
20200119;17;20200;18851,913
20200119;18;20300;19423,163
20200119;19;20400;19659,563
20200119;20;20500;19689,300
20200119;21;20200;19360,288
20200119;22;19300;18515,475
20200119;23;18600;17755,363
20200119;24;17600;16862,163
20200120;1;16500;16022,200
20200120;2;16100;15500,638
20200120;3;15900;15258,450
20200120;4;16100;15332,963
20200120;5;16600;15782,300
20200120;6;18600;16971,463
20200120;7;22300;20325,913
20200120;8;23500;22496,688
20200120;9;24400;23576,563
20200120;10;24500;24057,725
20200120;11;24500;23816,088
20200120;12;24500;24070,213
20200120;13;24400;24178,788
20200120;14;24700;24202,800
20200120;15;24200;23752,175
20200120;16;24100;23576,963
20200120;17;25200;24279,925
20200120;18;25200;24610,813
20200120;19;24800;24370,688
20200120;20;24600;24142,575
20200120;21;23900;23525,813
20200120;22;22400;22062,463
20200120;23;21000;20691,100
20200120;24;19500;19315,125
20200121;1;18200;18315,650
20200121;2;17500;17753,225
20200121;3;17300;17437,288
20200121;4;17400;17544,738
20200121;5;17900;17782,350
20200121;6;19600;18701,825
20200121;7;22900;21516,788
20200121;8;23900;23456,700
20200121;9;24400;24064,375
20200121;10;24300;24082,138
20200121;11;24100;23603,600
20200121;12;24100;23695,975
20200121;13;24100;23516,525
20200121;14;24200;23729,450
20200121;15;23900;23415,738
20200121;16;23900;23453,300
20200121;17;25300;24139,450
20200121;18;25200;24732,213
20200121;19;24900;24483,338
20200121;20;24800;24342,088
20200121;21;24100;23710,738
20200121;22;22600;22322,050
20200121;23;21000;20781,575
20200121;24;19700;19525,625
20200122;1;18400;18370,775
20200122;2;17800;17734,375
20200122;3;17500;17416,538
20200122;4;17500;17590,163
20200122;5;18100;17852,963
20200122;6;19600;18695,375
20200122;7;23000;21329,538
20200122;8;24000;23322,475
20200122;9;24600;24169,350
20200122;10;24600;24443,550
20200122;11;24400;24358,163
20200122;12;24600;24684,625
20200122;13;24600;24532,988
20200122;14;24800;24708,238
20200122;15;24300;24255,925
20200122;16;24100;24050,050
20200122;17;25200;24594,100
20200122;18;25100;25084,363
20200122;19;24800;24769,900
20200122;20;24700;24491,613
20200122;21;24000;23833,900
20200122;22;22500;22383,688
20200122;23;21100;20624,288
20200122;24;19800;19347,413
20200123;1;18400;18422,438
20200123;2;17800;17791,713
20200123;3;17500;17492,063
20200123;4;17600;17484,813
20200123;5;18200;17832,388
20200123;6;19800;18646,850
20200123;7;23400;21498,513
20200123;8;24300;23448,100
20200123;9;24800;24137,238
20200123;10;24700;24296,113
20200123;11;24300;24034,525
20200123;12;24400;24268,413
20200123;13;24400;24182,463
20200123;14;24600;24206,675
20200123;15;24000;23993,700
20200123;16;24100;23881,700
20200123;17;25300;24664,313
20200123;18;25300;25250,625
20200123;19;25100;24799,850
20200123;20;25000;24689,400
20200123;21;24300;23876,088
20200123;22;22800;22415,888
20200123;23;21400;20840,750
20200123;24;20000;19617,538
20200124;1;18500;18494,700
20200124;2;17900;17995,150
20200124;3;17600;17562,013
20200124;4;17600;17665,963
20200124;5;18300;17915,763
20200124;6;19900;18807,575
20200124;7;23400;21568,238
20200124;8;24300;23358,375
20200124;9;24800;24144,525
20200124;10;24700;24358,400
20200124;11;24400;23908,075
20200124;12;24600;23949,300
20200124;13;24600;23932,063
20200124;14;24800;23917,300
20200124;15;24200;23561,838
20200124;16;23900;23543,663
20200124;17;25200;24340,375
20200124;18;25300;24978,138
20200124;19;24800;24654,075
20200124;20;24700;24388,100
20200124;21;24000;23614,838
20200124;22;22500;22235,725
20200124;23;21100;20636,525
20200124;24;19800;19447,888
20200125;1;18600;18365,025
20200125;2;17900;17876,950
20200125;3;17500;17529,538
20200125;4;17400;17404,075
20200125;5;17500;17401,125
20200125;6;17800;17508,313
20200125;7;19100;18557,963
20200125;8;19900;19247,188
20200125;9;21100;20418,675
20200125;10;21700;21285,463
20200125;11;22100;21574,463
20200125;12;22100;21694,413
20200125;13;21900;21523,338
20200125;14;22000;21331,875
20200125;15;21200;20777,375
20200125;16;20900;20537,563
20200125;17;22200;21286,138
20200125;18;22200;21738,725
20200125;19;21800;21629,988
20200125;20;21500;21453,288
20200125;21;20900;20803,188
20200125;22;19700;19614,588
20200125;23;18700;18609,638
20200125;24;17600;17579,788
20200126;1;15700;16519,125
20200126;2;15000;15860,263
20200126;3;14700;15394,550
